Site TA,Site & transect,Transect Point (m),Date,Time,Total Cover (%),Algae,Sessile Invertebrates,Algae,Sessile invertebrates,Mobile Invertebrates,All Invertebrates,Comments
4,TA-4-2,20,2023-06-02,11:43:00 AM,40,50,50,3,2,0,2,"fucus distichus, ulva spp., brown mat algae, balanus glandula, blue mussels"
4,TA-4-3,10,2023-06-02,11:00:00 AM,10,5,90,1,2,2,4,"fucus, limpet, mussels, barnacles, snail. 0.5% mobile"
4,TA-4-3,3,2023-06-02,11:05:00 AM,2,0,25,0,1,1,2,"snail, visible algae not attached to substrate. 0.5% mobile"
4,TA-4-4,2,2023-06-02,12:25:00 PM,60,17,83,2,2,0,2,"ulva spp., fucus distichus, blue mussels, balanus spp."
4,TA-4-4,10,2023-06-02,12:30:00 PM,70,71,19,3,2,1,3,"ulva spp., fucus distichus, blue mussels, brown mat algae, littorina spp. 1% mobile"
4,TA-4-5,19,2023-06-02,11:54:00 AM,10,30,65,2,2,1,3,"sea lettuce (tube & blade), mussels and barnacles, limpets. 0.5% mobile"
4,TA-4-5,5,2023-06-02,11:58:00 AM,80,75,24,2,2,1,3,"mussels and barnacles, limpets, sea lettuce "
3,TA-3-2,24,2023-06-06,2:52:00 PM,15,7,93,1,2,0,2,"barnacles, rockweed, mussel"
3,TA-3-2,21,2023-06-06,2:58:00 PM,25,40,56,1,2,1,3,"limpet, mussels, barnacles, rockweed. 1% mobile"
3,TA-3-4,27,2023-06-06,1:32:00 PM,50,50,50,1,2,2,4,"green shell snail w white stripes, barnacles, mussels, limpets, rockweed. 1% mobile"
3,TA-3-4,13,2023-06-06,2:06:00 PM,17,3,88,1,2,2,4,"limpets, barnacles, mussels, littorine snail. 1.5% mobile"
3,TA-3-5,11,2023-06-06,2:09:00 PM,35,14,86,2,3,1,4,"limpets, barnacles, mussels, littorine snail. 0.5% mobile"
3,TA-3-5,6,2023-06-06,2:16:00 PM,85,2,97,1,2,1,3,"barnacles, limpets, mussels. 0.5% mobile"
3,TA-3-6,5,2023-06-06,2:58:00 PM,85,24,76,2,2,0,2,"barnacles, mussels"
3,TA-3-6,25,2023-06-06,2:30:00 PM,15,50,50,2,2,0,2,"barnacles, mussels"
2,TA-2-2,7,2023-06-07,3:12:00 PM,20,35,50,3,2,1,3,3% mobile
2,TA-2-2,1,2023-06-07,3:20:00 PM,30,30,67,2,3,1,4,"oyster, mussels, snails. 1% mobile"
2,TA-2-3,10,2023-06-07,3:35:00 PM,25,40,40,2,2,1,3,"snails, mussels, barnacles, rockweed, sea lettuce. 5% mobile"
2,TA-2-3,6,2023-06-07,4:00:00 PM,70,43,54,1,2,1,3,"isopod, snails, barnacles, mussels, rockweed. 2% mobile"
2,TA-2-5,23,2023-06-07,2:21:00 PM,25,10,86,2,2,1,3,"sea lettuce, red seaweed, barnacles, mussels, limpets. 1% mobile"
2,TA-2-5,8,2023-06-07,2:55:00 PM,40,75,25,1,2,1,3,"sea lettuce, acorn barnacles, mussels, limpet"
2,TA-2-8,30,2023-06-07,1:57:00 PM,100,40,59.5,2,2,1,3,"rockweed, sea lettuce, barnacles (maybe), blue mussels, limpets. 0.5% mobile, maybe 3 sessile diversity count"
2,TA-2-8,15,2023-06-07,2:15:00 PM,95,16,84,1,2,0,2,"sea lettuce, mussels, acorn barnacles"
1,TA-1-2,7,2023-06-30,9:49:00 AM,100,90,9.5,1,2,2,4,"blue mussels, 1 snail, 1 limpet, <5 barnacles. 0.5% mobile cover"
1,TA-1-2,24,2023-06-30,10:07:00 AM,5,90,10,1,1,0,1,"mussels, sea lettuce  "
1,TA-1-3,6,2023-06-30,10:39:00 AM,98,98,2,2,2,0,2,"rockweed, sea lettuce, blue mussels, acorn barnacles"
1,TA-1-3,8,2023-06-30,10:42:00 AM,85,41,59,2,2,1,3,limpet
1,TA-1-4,27,2023-06-30,10:29:00 AM,35,100,0,4,0,0,0,
1,TA-1-4,11,2023-06-30,10:34:00 AM,90,16,83,2,2,1,3,"barnacles, mussels, limpet. 1% mobile cover"
1,TA-1-7,3,2023-06-30,10:07:00 AM,70,7,91,1,2,1,3,"barnacles, mussel, limpet"
1,TA-1-7,20,2023-06-30,9:21:00 AM,5,20,80,1,2,0,2,"blue mussels, acorn barnacles"
