,,,,Transect data,,,,,,1m quadrat,,,,,,,,,,,,0.25m quadrat,,,,,,,,,,,,,,,,,
2019-03-06,6,TA-6-1,20,30,N/A,N/A,N/A,N/A,,87,0,6,12,Shore Crab (12),6,6.3,4.8,5.0,N/A,TA-6-1,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-1,5,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-1,5,60,60,1,3,1,0,1,Barnacles,,,,,,,,,,
2019-03-06,6,TA-6-1,16,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-1,16,90,90,1,1,0,1,1,Snail ,,,,,,,,,,
2019-03-06,6,TA-6-2,1 to 30,30,0,0,18.4,15.8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-2,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-2,14,30,N/A,N/A,N/A,N/A,,0,0,3,10,Shore Crab (10),3,6.3,4.8,4.6,N/A,TA-6-2,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-2,20,30,N/A,N/A,N/A,N/A,,6,0,1,9,"Worm (1), Midge (3), Shore Crab (5)",1,5.6,4.0,4.0,N/A,TA-6-2,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-2,6,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-2,6,40,40,0,4,0,1,1,Midge,,,,,,,,,,
2019-03-06,6,TA-6-2,1,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-2,1,100,100,0,4,0,2,2,"Midge, amphipod ",,,,,,,,,,
2019-03-06,6,TA-6-6,1 to 30,30,1,0,18.4,15.8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-6,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-6,3,30,N/A,N/A,N/A,N/A,,0,0,1,11,"Purple Sea Star (2), White Sea Star (1), Sea Anemone (1), Amphipod (6), Worm (1)",1,3.0,2.5,2.5,N/A,TA-6-6,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-6,25,30,N/A,N/A,N/A,N/A,,6,0,0,6,Shore Crab (6),0,N/A,N/A,N/A,N/A,TA-6-6,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-6,11,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-6,11,90,90,1,2,1,0,1,Barnacles,,,,,,,,,,
2019-03-06,6,TA-6-6,20,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-6,20,90,90,1,3,1,0,1,Mussels ,,,,,,,,,,
2019-03-06,6,TA-6-7,1 to 30,30,12,3,18.4,15.8,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-7,1 to 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-7,4,30,N/A,N/A,N/A,N/A,,2,0,10,5,"Midge (3), Shore Crab (2) ",7,14.8,9.1,10.7,N/A,TA-6-7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-7,14,30,N/A,N/A,N/A,N/A,,80,0,5,14,"Crab (7), Amphipod (6), Isopod (1) ",5,6.5,5.1,5.0,N/A,TA-6-7,14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,
2019-03-06,6,TA-6-7,5,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-7,5,35,30,10,3,2,0,2,Barnacles,,,,,,,,,,
2019-03-06,6,TA-6-7,10,30,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TA-6-7,10,100,40,15,1,2,3,4,"Mussels, barnacles, littorine snails, crabs",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
