Site TA,Site & transect,Transect Point (m),Date,Time,Littorine snails,Nucella snails,Limpets,Other,"Specify-- Species 1 (Count), Species 2 (Count)…",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,15,2022-05-19,3:06:00 PM,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,0,2022-05-19,3:21:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-5,28,2022-05-19,2:41:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-5,17,2022-05-19,3:43:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,4,2022-05-19,3:51:00 PM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,0,2022-05-19,2:50:00 PM,0,0,4,2,Isopods,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,18,2022-05-17,1:05:00 PM,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-1,3,2022-05-17,1:38:00 PM,0,0,0,1,Lined chiton,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-4,7,2022-05-17,1:05:00 PM,107,0,3,3,Crabs,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-4,6,2022-05-17,1:25:00 PM,142,0,6,1,Crab,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,12,2022-05-17,2:00:00 PM,12,0,0,1,Crab,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,9,2022-05-17,2:15:00 PM,1,0,4,2,"Isopod (1), Crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,20,2022-05-17,3:27:00 PM,286,0,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,8,2022-05-17,3:06:00 PM,0,0,6,3,"Leather star (1), Yellow shore crab (1), Unidentified shore crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-3,11,2023-05-24,2:09:00 PM,0,0,0,2,"mussels (1), barnacles (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-3,17,2023-05-24,2:17:00 PM,11,0,9,9,"shore crab(6), mussels (1), clam (1), barnacles (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,13,2023-05-24,2:14:00 PM,0,0,0,6,"tiny flying insects (~5), purple ribbon worm(1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-5,9,2023-05-24,2:18:00 PM,0,0,0,2,"terrestrial insect larvae (2),  tiny insects",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-7,3,2023-05-24,3:25:00 PM,32,0,3,3,"barnacles (2) - 2 species?, mussels (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-7,5,2023-05-24,3:38:00 PM,18,0,13,2,"barnacles (2 species), mussels",,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,5,2023-05-24,3:47:00 PM,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,TA-6-8,12,2023-05-24,N/A,43,0,21,1,crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,10,2023-06-01,10:14:00 AM,0,0,0,1,green shore crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-3,20,2023-06-01,10:02:00 AM,0,0,3,9,"crabs (7), amphipod (1), isopod(1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-5,8,2023-06-01,11:08:00 AM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-5,6,2023-06-01,11:20:00 AM,0,0,0,1,green shore crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,5,2023-06-01,10:03:00 AM,1,0,23,24,"hermit crabs (2), shore crabs (6), rockweed isopod (1), mud nemertean (8), unidentified worm (1), amphipod (1), pink worm (5)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-7,10,2023-06-01,10:42:00 AM,3,0,56,40,"isopod (11), pink worm (7), mud nemertean (3), shore crab (16), arthropod (3)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-8,11,2023-06-01,11:37:00 AM,4,0,6,14,"hermit crab (2), shore crab (7), amphipod (1), polychaete (1), rockweed isopod (2), antropod (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
5,TA-5-8,12,2023-06-01,11:53:00 AM,8,0,4,10,"amphipod (1), shore crabs (8), spider (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,13,2023-06-02,11:19:00 AM,16,0,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-2,23,2023-06-02,12:02:00 PM,2,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,12,2023-06-02,11:09:00 AM,123,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-3,4,2023-06-02,N/A,30,0,10,3,"crab (2), clam",,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-4,12,2023-06-02,12:50:00 PM,21,0,1,2,yellow shore crab (2),,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-4,15,2023-06-02,12:37:00 PM,50,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-5,15,2023-06-02,12:03:00 PM,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,TA-4-5,1,2023-06-02,12:10:00 PM,20,0,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,3,2023-06-06,3:18:00 PM,1,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-2,20,2023-06-06,3:02:00 PM,5,0,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,2,2023-06-06,2:12:00 PM,3,0,55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-4,17,2023-06-06,1:41:00 PM,21,0,12,7,"shore crab (5), isopod (1), black & white crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,15,2023-06-06,1:59:00 PM,14,0,5,11,green shore crab (11),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-5,24,2023-06-06,1:40:00 PM,6,0,6,8,"green shore crab (7), hermit crab (1)",,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,7,2023-06-06,2:45:00 PM,3,0,12,4,green shore crab (4),,,,,,,,,,,,,,,,,,,,,,,,,,
3,TA-3-6,19,2023-06-06,2:35:00 PM,4,0,0,1,oyster (1),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,15,2023-06-07,2:52:00 PM,58,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-2,12,2023-06-07,3:05:00 PM,396,0,0,3,isopod(3),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,12,2023-06-07,3:19:00 PM,48,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-3,8,2023-06-07,N/A,116,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,14,2023-06-07,2:45:00 PM,0,0,10,1,oyster (1),,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-5,2,2023-06-07,2:59:00 PM,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-8,24,2023-06-07,2:03:00 PM,0,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TA-2-8,14,2023-06-07,2:19:00 PM,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,5,2023-06-30,9:29:00 AM,0,0,44,2,aquatic worm (2),,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-2,15,2023-06-30,9:54:00 AM,0,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,5,2023-06-30,10:22:00 AM,0,0,207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-3,24,2023-06-30,10:52:00 AM,0,0,120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-4,30,2023-06-30,10:23:00 AM,11,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-4,6,2023-06-30,10:38:00 AM,1,0,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-7,6,2023-06-30,9:47:00 AM,5,0,40,1,purple shore crab (1),,,,,,,,,,,,,,,,,,,,,,,,,,
1,TA-1-7,14,2023-06-30,9:27:00 AM,17,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
