Site TA,Site & transect,Transect Point (m),Date,Time,Number of individuals measured,Mean Length (mm),Median Length (mm),Mean Width (mm),Median Width (mm),Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Length,Width,Comments
3,TA-3-7,7,2021-06-04,10:44:00 AM,10,9.2,8.1,6.8,5.9,6.00,4.80,7.40,5.70,8.80,6.00,11.40,8.70,13.70,9.90,14.80,11.00,5.90,3.30,12.70,8.80,6.10,5.50,5.40,4.20,"Japanes little neck, red rock carapace, pacific oyster shell, unknown brown, filamentuous algae, pacific blue mussel, giant acorn barnacle, rockweed"
3,TA-3-5,1,2021-06-04,10:05:00 AM,10,8.0,7.9,6.4,6.5,8.40,5.50,7.40,6.50,9.40,7.90,7.00,6.70,9.80,6.10,7.00,6.70,6.90,6.00,6.90,5.40,8.40,6.50,8.30,6.80,
3,TA-3-5,5,2021-06-04,10:25:00 AM,10,9.1,8.6,7.3,6.9,15.80,12.50,8.00,6.30,3.00,3.60,8.60,7.00,9.00,7.50,13.20,10.40,9.70,8.00,7.80,5.60,7.60,5.40,8.50,6.80,
3,TA-3-6,1,2021-06-04,8:37:00 AM,10,9.1,7.7,7.3,10.4,15.80,11.40,11.60,8.80,7.20,6.10,7.70,5.50,7.70,7.10,10.10,7.00,5.70,4.80,11.80,10.30,7.20,6.80,6.60,5.00,"mask limpet, common acorn barnacle, checkered perriwinkle, rockweed, pacific blue mussel, mite(red, tiny), sea lettuce, pacific plate limpet"
3,TA-3-6,12,2021-06-04,9:37:00 AM,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-6,24,2021-05-24,2:04:00 PM,10,4.8,5.3,3.2,3.5,4.00,2.00,4.00,3.50,4.70,3.10,5.40,4.00,5.90,2.80,5.70,3.70,5.60,3.90,2.00,1.70,5.20,3.50,5.70,3.80,"beetle type bug, red aphid type bug, 2 hermit crabs "
1,TA-1-6,25,2021-05-24,2:17:00 PM,10,8.0,8.0,6.7,6.8,9.40,6.60,7.10,6.60,8.50,7.20,6.90,5.80,9.20,7.80,7.60,7.00,6.90,6.00,7.20,5.30,9.00,7.10,8.40,7.70,
1,TA-1-5,15,2021-05-27,1:15:00 PM,10,5.8,5.2,4.4,4.4,5.10,4.70,5.00,4.10,3.50,3.20,5.20,3.60,8.90,6.40,7.70,5.10,6.40,4.90,5.10,3.00,6.30,5.70,4.60,3.10,
1,TA-1-5,19,2021-05-27,1:29:00 PM,10,8.3,8.3,6.4,6.2,8.70,5.80,5.00,3.80,10.30,8.40,13.20,9.30,6.10,4.70,6.40,4.80,3.40,2.70,9.70,8.50,7.80,6.50,12.40,9.40,
1,TA-1-3,14,2021-05-27,1:00:00 PM,10,5.6,5.8,3.5,3.4,8.30,6.10,6.10,4.20,7.50,5.70,6.10,4.30,4.70,3.30,7.60,3.40,5.40,1.90,3.20,2.40,3.20,1.80,4.10,2.20,
1,TA-1-3,30,2021-05-27,12:34:00 PM,10,6.7,6.8,4.5,4.3,7.10,5.90,4.10,3.30,6.80,3.50,10.70,5.70,8.10,6.70,6.70,5.20,7.70,4.40,4.50,3.30,5.60,4.10,5.20,3.00,
4,TA-4-1,10,2021-05-25,11:10:00 AM,10,7.3,7.2,5.3,5.2,7.70,5.50,9.20,6.50,6.80,5.50,9.20,8.60,4.10,3.00,8.80,5.70,6.60,4.80,7.10,4.50,6.20,4.90,7.20,4.10,
4,TA-4-4,11,2021-05-25,12:52:00 PM,10,7.7,6.8,5.9,5.3,7.80,5.60,6.80,4.90,7.60,5.80,6.50,4.80,16.30,12.70,6.50,4.00,5.70,4.70,7.20,5.80,6.70,5.50,5.90,5.10,
4,TA-4-1,25,2021-05-25,11:33:00 AM,10,10.6,9.2,7.8,6.8,7.00,5.80,10.90,8.10,9.10,6.40,14.00,9.60,9.30,7.20,21.70,14.50,8.30,6.40,9.40,6.30,8.80,7.00,7.80,6.50,
4,TA-4-4,16,2021-05-25,12:46:00 PM,10,8.8,8.6,7.4,7.7,11.30,10.10,8.20,8.10,8.30,4.90,9.10,8.40,8.90,7.50,8.00,6.30,8.80,7.60,8.30,7.80,6.10,5.90,10.80,7.80,
4,TA-4-7,17,2021-05-25,11:30:00 AM,10,9.7,8.7,7.1,6.3,17.80,13.70,8.60,7.00,8.70,5.00,5.80,4.70,8.20,6.20,9.10,6.40,8.50,5.20,13.70,9.10,9.20,7.70,7.70,5.70,
4,TA-4-7,4,2021-05-25,11:00:00 AM,10,10.0,8.0,7.6,6.2,7.50,5.50,19.70,13.80,17.60,16.70,10.20,7.00,6.10,5.00,5.80,4.30,6.80,4.60,8.50,6.90,10.40,7.80,7.10,4.50,
2,TA-2-2,20,2021-06-08,1:06:00 PM,6,21.6,22.2,16.7,16.9,23.00,18.70,20.70,15.90,18.70,13.50,22.30,17.10,22.60,18.10,22.00,16.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-2,16,2021-06-08,12:28:00 PM,10,11.4,10.8,8.8,8.3,14.00,10.60,11.10,8.40,17.20,14.10,17.00,13.20,7.80,5.90,7.30,6.60,6.30,4.30,15.20,11.10,10.50,8.10,7.30,6.00,"masked limpet, greyish amphipod(2mm), littleneck clam, pacific blue mussels, common acorn barnacles, rockweed"
2,TA-2-1,3,2021-06-08,10:49:00 AM,10,9.1,8.3,7.2,7.4,14.60,10.80,7.30,4.20,7.70,7.30,12.00,9.20,8.70,7.80,11.40,9.10,7.80,5.80,8.10,6.40,8.50,7.40,4.50,4.10,"sea lettuce, rockwee, pacific blue mussel, red/brown algae, yellow shore moult, two red rock crab moult, common acorn barnacles, mask limpet, checkered periwinkle, small green hermit crab, fingered limpet"
2,TA-2-1,17,2021-06-08,11:24:00 AM,10,9.5,8.2,7.3,6.5,18.20,15.50,8.60,6.10,7.30,6.30,8.40,7.60,7.20,5.00,6.30,5.10,7.90,6.40,10.20,7.40,13.20,7.10,7.70,6.60,"checkered periwinkle, mask limpet, rockweed, pacific blue mussels, giant acorn barnacles"
2,TA-2-4,14,2021-06-08,11:02:00 AM,10,9.8,7.5,7.8,5.9,7.20,5.10,19.80,14.80,7.80,4.90,7.10,5.80,5.70,3.80,7.20,4.90,7.20,5.90,8.40,8.40,8.30,8.40,19.10,15.50,
2,TA-2-4,19,2021-06-08,11:33:00 AM,10,9.5,7.3,7.2,5.5,8.30,5.50,7.40,5.20,21.40,18.70,8.70,5.50,7.20,4.90,6.60,5.90,14.40,11.00,6.60,5.50,7.20,5.30,7.10,4.80,
2,TA-2-7,17,2021-06-08,12:23:00 PM,10,12.3,10.3,9.5,7.7,8.30,6.60,5.90,5.40,11.50,8.70,5.80,3.80,11.20,10.00,9.30,6.50,8.80,5.70,23.00,18.70,20.70,15.90,18.70,13.50,
2,TA-2-7,18,2021-06-08,12:39:00 PM,10,7.9,8.1,6.4,6.6,8.30,6.40,6.10,4.90,10.50,8.80,7.20,6.10,8.80,7.70,12.20,8.00,8.70,7.20,4.90,4.30,4.70,3.90,7.80,6.70,
5,TA-5-2,16,2021-06-10,12:13:00 PM,10,4.1,4.1,2.7,3.0,3.10,2.00,5.10,3.10,4.20,3.00,4.00,3.00,4.00,2.50,4.10,2.90,3.50,2.10,4.90,3.00,5.10,3.00,2.50,2.00,
5,TA-5-2,8,2021-06-10,1:08:00 PM,10,4.1,4.1,2.1,2.2,4.00,2.20,4.80,3.00,5.00,2.90,3.10,2.10,3.00,0.80,4.20,1.10,3.90,1.20,3.10,0.60,4.80,3.70,4.60,3.10,
5,TA 5-1,4,2021-06-10,11:59:00 AM,10,8.1,7.5,6.0,5.9,6.60,5.10,6.10,5.90,11.40,8.10,8.30,6.60,5.90,4.10,9.30,5.30,6.10,5.90,6.60,4.40,12.50,8.50,8.30,6.10,
5,TA-5-1,21,2021-06-10,12:53:00 PM,10,6.7,6.3,5.3,4.9,6.10,4.40,5.10,4.90,7.90,6.50,6.40,4.70,8.60,6.30,8.50,6.60,6.10,4.80,5.90,4.70,7.20,5.30,5.50,4.90,
5,TA-5-4,13,2021-06-10,1:54:00 PM,10,3.7,3.3,2.1,1.7,1.10,0.40,4.00,2.40,3.10,1.20,3.00,1.30,3.40,2.00,2.90,0.90,4.10,2.10,3.60,3.20,10.40,6.70,0.90,0.40,
5,TA-5-4,17,2021-06-10,2:11:00 PM,10,5.2,3.8,3.2,2.1,2.50,1.00,3.10,2.00,4.20,2.10,9.20,6.30,5.10,2.50,3.10,1.00,3.60,1.40,4.00,2.10,3.10,1.70,14.40,11.40,
6,TA-6-8,8,2021-06-15,2:54:00 PM,10,7.3,6.8,5.6,5.6,8.70,6.10,7.50,6.20,6.40,4.50,8.70,5.90,6.60,4.40,6.90,4.90,6.60,5.40,10.00,8.30,5.30,4.20,6.60,5.70,
6,TA-6-8,14,2021-06-15,4:00:00 PM,10,8.5,7.6,6.6,5.7,6.60,4.30,9.40,7.60,7.80,5.30,7.20,5.70,8.30,7.60,7.30,5.60,6.50,4.60,16.20,13.30,6.50,4.40,8.90,7.90,
6,TA-6-2,14,2021-06-15,2:56:00 PM,10,5.7,5.8,4.2,3.9,9.90,7.80,6.60,5.60,7.90,6.10,7.20,4.10,5.70,4.40,5.80,3.70,3.10,3.10,4.00,3.50,1.80,0.80,4.80,3.20,"slimy brown algae, sea lettuce, acorn barnacles, mussels"
6,TA-6-2,10,2021-06-15,3:12:00 PM,8,6.5,5.5,4.4,3.9,2.00,0.80,4.00,2.50,11.00,7.90,5.90,4.40,11.80,6.00,5.10,3.30,4.20,2.70,8.00,7.30,N/A,N/A,N/A,N/A,"square tooth sand flea, rockweed isopod, mussels, acorn barnacle, shore crab"
6,TA-6-6,4,2021-06-15,5:06:00 PM,1,7.5,7.5,5.8,5.8,7.50,5.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,covered in unidentified brown algae
6,TA-6-6,13,2021-06-15,5:08:00 PM,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-5,24,2021-06-15,3:56:00 PM,10,7.9,6.1,6.1,4.8,5.60,4.10,5.10,3.30,6.40,4.70,6.10,5.10,5.20,4.90,6.90,5.30,19.70,15.70,13.00,9.90,4.80,3.90,6.10,3.90,
6,TA-6-5,17,2021-06-15,4:09:00 PM,10,7.3,6.3,4.2,3.5,10.10,6.40,7.60,5.50,7.60,4.20,4.10,0.90,4.10,1.90,4.90,1.90,3.80,1.00,17.90,12.90,4.70,2.90,7.90,4.10,"brown slimy algae, sea lettuce"
1,TA-1-8,1,2021-06-16,4:52:00 PM,10,7.2,7.8,5.2,5.4,7.30,4.40,4.90,3.10,2.80,2.70,9.50,7.70,6.10,4.40,8.00,5.80,8.30,6.10,9.00,6.80,7.50,4.90,8.20,6.50,
1,TA-1-8,20,2021-06-16,5:14:00 PM,10,14.7,15.8,10.8,11.4,15.30,11.20,8.00,5.10,17.60,14.50,15.20,11.10,15.90,12.70,17.20,9.90,16.10,13.30,17.40,13.00,15.60,11.50,8.70,5.90,
4,TA-4-3,12,2021-06-16,3:57:00 PM,10,9.2,9.4,6.8,6.8,9.90,6.60,12.70,8.80,5.50,3.30,8.30,6.90,11.10,6.60,8.80,8.30,4.90,3.80,8.80,6.60,12.20,9.20,9.90,7.70,"mask limpet, checkered periwinkle, plate limpet, finger limpet, acorn barnacle, broadleaf sea lettuce, pacific blue mussel"
4,TA-4-3,27,2021-06-16,4:35:00 PM,10,9.5,8.3,7.4,6.1,16.10,13.20,14.30,10.90,8.30,6.10,13.30,9.40,6.10,5.90,4.90,4.00,7.20,6.10,7.70,6.10,8.70,6.10,8.30,6.30,"checkered periwinkle, plate + mask limpet, red/brown algae, acorn barnacle, pacific blue mussels"
5,TA-5-6,3,2021-06-16,5:44:00 PM,10,6.6,5.8,5.1,4.8,13.70,10.40,6.10,5.50,4.80,3.30,5.50,4.30,6.10,4.40,5.50,4.80,4.40,3.30,7.70,4.90,5.40,4.80,7.20,4.80,"pacific oyster, broad leaf sea lettuce, checkered periwinkle, limpets (plate, mask), pacific acorn barnacle, pacific blue mussel, rockweed, red/brown algae"
5,TA-5-6,10,2021-06-16,6:05:00 PM,10,7.1,6.7,5.8,5.4,6.70,5.90,7.20,6.50,7.20,5.40,6.10,4.40,6.10,5.40,6.60,4.80,6.10,4.80,12.70,10.50,4.90,3.30,7.70,6.60,"acorn barnacle, bull kelp, rockweed, limpets (plate, mask), checkered periwinkle, paciic oyster, pacific blue mussel, broadleaf sea lettuce, brown/red algae, shore crab molt, limpet 8 = plate limpet"
1,TA-1-2,18,2022-05-31,12:43:00 PM,10.0,7.5,7.4,6.2,6.05,7.70,6.70,7.20,6.10,6.80,6.00,7.60,6.40,9.40,7.00,7.00,5.50,7.00,8.60,8.10,5.50,7.50,5.20,6.50,5.10,
1,TA-1-2,23,2022-05-31,1:00:00 PM,10.0,7.5,8.1,5.6,5.70,7.10,5.20,8.10,6.30,8.40,6.00,8.10,6.70,5.80,4.90,8.30,6.10,8.20,5.40,6.30,4.10,8.40,6.60,6.20,5.10,
1,TA-1-3,13,2022-05-31,1:58:00 PM,10.0,11.7,10.3,9.1,7.95,21.30,16.40,12.40,9.60,18.10,14.40,15.70,13.20,8.20,6.30,7.00,5.70,16.50,12.80,5.50,4.40,6.60,5.10,5.60,3.20,
1,TA-1-3,19,2022-05-31,2:10:00 PM,1.0,32.0,32.0,24.0,24.00,32.00,24.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1,TA-1-6,15,2022-05-31,12:43:00 PM,10.0,7.2,6.9,5.2,5.20,8.00,5.40,7.40,5.30,6.20,4.90,8.30,5.10,6.30,3.70,6.20,3.70,6.90,4.70,6.90,5.90,9.40,7.80,6.70,5.90,
1,TA-1-6,20,2022-05-31,1:07:00 PM,10.0,8.1,7.8,6.3,6.50,10.10,7.40,12.20,9.00,7.60,7.50,7.90,5.70,5.60,3.80,11.60,9.00,2.00,1.80,7.50,6.10,7.70,5.90,8.30,6.90,
1,TA-1-7,9,2022-05-31,1:32:00 PM,10.0,6.9,6.5,5.0,4.90,9.50,7.00,9.70,8.10,10.00,6.40,6.40,5.10,5.10,3.60,4.10,3.00,6.60,5.10,7.20,4.70,5.70,4.30,4.20,2.90,
1,TA-1-7,23,2022-05-31,1:53:00 PM,1.0,7.9,7.9,5.1,5.10,7.90,5.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-1,23,2022-06-01,1:32:00 PM,1.0,15.0,15.0,9.0,9.00,15.00,9.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Rockweed, Sea lettuce, Sugar kelp, Turkish towel, Unidentifed brown algae"
2,TA-2-1,11,2022-06-01,1:51:00 PM,10.0,11.0,10.7,8.3,8.00,11.60,9.30,7.40,7.00,17.00,7.00,6.00,4.00,8.00,9.00,12.20,10.00,19.50,14.60,9.70,6.10,12.50,9.80,6.00,6.00,"Rockweed, Sea lettuce, Wireweed, Oysters, Mussels, and Barnacles"
2,TA-2-2,13,2022-06-01,2:28:00 PM,2.0,28.5,28.5,21.0,21.00,31.00,24.00,26.00,18.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Could only access 2 limpets to measure
2,TA-2-2,17,2022-06-01,2:39:00 PM,10.0,20.6,21.1,17.2,17.95,26.00,21.00,13.00,18.00,24.00,19.00,16.00,15.00,16.00,11.00,22.40,17.90,19.40,15.00,23.30,19.50,26.40,20.10,19.70,15.00,
2,TA-2-5,8,2022-06-01,1:32:00 PM,10.0,8.3,6.1,6.4,5.35,13.30,9.90,5.50,4.40,8.30,5.90,15.10,12.70,6.10,5.90,5.40,3.80,13.30,10.10,6.10,4.80,4.90,3.80,4.80,2.70,"Lots of Ulva (both dried and wet), Lots of Acorn barnacles and Pacific blue mussels "
2,TA-2-5,29,2022-06-01,1:52:00 PM,7.0,7.9,8.3,6.2,6.60,9.80,6.60,8.30,5.50,8.30,6.60,7.30,5.10,7.20,6.60,8.30,7.20,6.10,5.50,N/A,N/A,N/A,N/A,N/A,N/A,
2,TA-2-7,8,2022-06-01,2:42:00 PM,10.0,5.5,5.0,4.2,3.80,4.90,3.70,7.30,6.10,5.10,4.40,8.30,6.10,4.20,3.70,4.40,3.70,4.40,3.90,6.60,3.70,2.70,2.20,6.60,4.40,"Lots of Pacific blue mussels, Lots of Acorn barnacles, Lots of Ulva (Lactuca and Intestinalis?)"
2,TA-2-7,23,2022-06-01,3:07:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sea lettuce, Rockweed, Unidentified green algae (stringy), Acorn barnacles. Area is on raised rock which explains dessication of barnacles and algae. "
3,TA-3-1,21,2022-06-02,1:55:00 PM,7.0,11.7,9.5,8.8,6.50,8.10,6.50,8.50,6.40,6.10,5.10,21.20,15.40,16.10,13.90,12.20,8.10,9.50,6.30,N/A,N/A,N/A,N/A,N/A,N/A,
3,TA-3-1,22,2022-06-02,2:20:00 PM,10.0,10.6,9.4,7.5,6.10,23.80,18.10,6.30,4.10,19.00,14.00,11.00,8.50,6.70,5.50,1.00,0.80,11.60,5.10,8.10,6.10,10.00,6.10,8.80,6.60,Rockweed
3,TA-3-3,4,2022-06-02,3:03:00 PM,10.0,6.6,6.6,4.9,4.80,9.10,8.00,6.60,4.80,7.60,4.00,5.20,4.80,6.70,5.40,8.10,6.10,4.10,2.50,6.60,4.20,6.10,5.10,6.10,4.10,"Sea lettuce, Filamentous red seaweed, Rockweed"
3,TA-3-3,22,2022-06-02,3:26:00 PM,7.0,13.7,13.2,9.4,10.00,16.10,10.50,16.10,10.00,11.10,10.20,12.40,5.30,13.20,10.00,12.00,9.00,15.00,11.00,N/A,N/A,N/A,N/A,N/A,N/A,
3,TA-3-6,7,2022-06-24,9:56:00 AM,10.0,8.8,7.7,7.2,6.80,7.10,5.50,7.60,6.60,7.20,5.50,6.10,5.00,6.10,4.80,11.60,9.40,7.80,7.00,11.30,9.60,9.40,7.70,13.30,10.40,
3,TA-3-6,28,2022-06-24,10:13:00 AM,9.0,9.3,8.8,7.5,7.40,9.80,8.60,8.80,6.70,8.30,7.10,10.80,7.80,8.60,7.40,8.20,6.60,8.70,6.70,10.00,8.50,10.80,8.30,N/A,N/A,
3,TA-3-7,12,2022-06-24,10:54:00 AM,10.0,9.1,8.7,6.8,6.00,9.80,5.90,7.60,4.30,13.70,10.90,7.60,6.10,9.80,6.50,4.80,3.70,7.10,4.70,13.10,10.40,11.00,10.50,6.60,5.20,
3,TA-3-7,18,2022-06-24,10:40:00 AM,10.0,7.5,7.4,5.8,5.80,10.40,8.30,7.60,5.00,8.20,5.90,6.10,6.00,7.20,5.50,4.90,3.30,7.20,6.10,7.20,5.40,8.00,5.70,8.10,6.6,
4,TA-4-2,3,2022-05-20,4:07:00 PM,10.0,9.4,9.5,7.2,6.90,7.90,7.20,10.40,9.00,11.10,8.30,8.30,6.60,8.30,6.00,6.60,5.30,9.50,5.50,9.40,8.60,10.50,4.50,11.60,10.90,
4,TA-4-2,8,2022-05-20,4:33:00 PM,10.0,9.9,8.8,7.9,7.20,6.30,4.10,7.80,5.10,13.20,11.50,8.20,7.40,19.00,15.50,7.20,5.70,9.10,7.20,8.60,7.20,8.90,7.10,10.50,8.30,
4,TA-4-3,5,2022-05-20,5:14:00 PM,9.0,11.6,12.2,8.8,9.30,15.00,11.10,14.40,9.40,7.30,6.10,8.30,6.10,15.00,11.10,12.20,9.30,8.30,6.10,16.60,15.70,7.70,4.40,N/A,N/A,
4,TA-4-3,22,2022-05-20,5:01:00 PM,6.0,8.6,8.3,6.5,6.10,7.20,5.50,8.30,6.10,12.20,9.40,9.40,6.60,8.30,6.10,6.30,5.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-5,9,2022-05-20,5:35:00 PM,5.0,11.9,12.0,9.2,9.50,14.00,11.00,12.00,7.60,9.40,7.50,11.50,9.50,12.50,10.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-5,13,2022-05-20,5:50:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
4,TA-4-7,8,2022-05-20,3:58:00 PM,10.0,8.1,7.0,5.6,5.00,14.00,10.00,7.50,6.50,6.50,5.00,7.00,5.00,7.00,4.80,6.40,4.00,11.90,8.70,7.00,5.00,9.00,4.00,5.00,3.00,
4,TA-4-7,23,2022-05-20,4:39:00 PM,10.0,9.9,9.5,7.7,6.95,11.00,7.80,11.40,9.80,6.90,6.10,16.50,13.50,11.50,10.00,7.00,6.00,15.50,9.20,8.00,6.00,3.00,3.00,8.00,5.8,
5,TA-5-1,11,2022-05-19,2:14:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-1,8,2022-05-19,2:26:00 PM,5.0,8.8,7.0,4.2,4.00,15.00,7.00,10.00,5.00,7.00,4.00,6.00,3.00,6.00,2.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-3,15,2022-05-19,3:06:00 PM,8.0,7.6,6.0,5.1,3.50,10.00,5.00,6.00,3.00,19.00,14.00,10.00,9.00,3.00,2.00,4.00,2.00,6.00,4.00,3.00,2.00,N/A,N/A,N/A,N/A,
5,TA-5-3,0,2022-05-19,3:21:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-5,28,2022-05-19,2:41:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-5,17,2022-05-19,3:43:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-7,4,2022-05-19,3:51:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
5,TA-5-7,0,2022-05-19,2:50:00 PM,4.0,8.2,7.1,5.7,5.15,6.60,4.20,12.10,8.10,7.20,5.10,6.90,5.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-1,18,2022-05-17,1:05:00 PM,4.0,7.3,7.5,5.4,5.60,7.10,4.40,7.90,5.70,7.80,5.50,6.50,5.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sea lettuce (ulva), Acorn barnacles"
6,TA-6-1,3,2022-05-17,1:38:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Lined chiton found on rock (Tonicella lineata), Majority of quadrat is covered in seaweed, mostly Bull kelp (Nereocystis luetkeana)"
6,TA-6-4,7,2022-05-17,1:05:00 PM,3.0,10.2,12.0,8.2,9.00,12.40,9.00,12.00,9.20,6.30,6.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-4,6,2022-05-17,1:25:00 PM,6.0,6.4,6.7,5.3,5.20,7.40,5.00,6.20,5.70,7.60,5.40,5.50,5.00,4.50,4.40,7.20,6.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-5,12,2022-05-17,2:00:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-5,9,2022-05-17,2:15:00 PM,4.0,9.4,8.8,7.3,6.85,6.60,5.70,8.40,5.30,9.10,8.00,13.50,10.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-8,20,2022-05-17,3:27:00 PM,10.0,9.8,6.6,7.5,4.55,26.40,23.60,20.40,16.10,6.50,4.70,8.70,5.20,5.20,4.40,7.50,4.90,5.30,4.20,5.80,3.40,5.30,4.10,6.70,4.40,"Rockweed is very abundant, Lots of checkered periwinkles, Blue mussels, Big size variance in limpets"
6,TA-6-8,8,2022-05-17,3:06:00 PM,6.0,6.6,6.6,4.8,4.50,8.90,7.20,7.30,4.60,6.70,3.70,6.50,5.90,5.90,4.40,4.40,3.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-3,11,2023-05-24,2:09:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-3,17,2023-05-24,2:17:00 PM,9.0,6.9,6.1,5.7,4.9,6.00,4.90,8.50,6.85,10.50,9.80,6.10,5.50,6.00,4.40,7.70,7.00,6.10,4.90,4.00,4.00,6.80,4.00,N/A,N/A,
6,TA-6-5,13,2023-05-24,2:14:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99% algae (ulva)
6,TA-6-5,9,2023-05-24,2:18:00 PM,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"crab molts, 99% algae (ulva)"
6,TA-6-7,3,2023-05-24,3:25:00 PM,3.0,9.3,8.5,6.6,4.2,17.25,14.50,8.50,4.20,2.00,1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6,TA-6-7,5,2023-05-24,3:38:00 PM,10.0,6.4,6.5,4.1,3.6,6.80,3.55,6.35,3.10,6.20,4.90,6.80,5.95,7.00,4.40,6.60,5.80,5.50,3.00,6.00,3.55,7.00,3.10,5.50,3.20,
6,TA-6-8,5,2023-05-24,3:47:00 PM,10.0,3.9,4.0,2.0,1.5,5.70,5.50,3.50,1.60,4.70,2.10,4.80,2.70,4.40,1.40,4.70,1.20,2.10,0.30,2.60,1.30,2.70,1.20,3.60,2.40,lots of isopods in the vicinity
